cuisine,costtype,location,Restaurant
Chinese,High,East,Marigold
Chinese,High,East,Once Upon a Time
Chinese,High,East,Thai Pavilion-Vivanta
Chinese,Low,East,The Momo house
Chinese,Medium,East,Bowl o China
Chinese,Medium,East,Jalpaan
Chinese,Medium,East,Talking Hands
Continental,High,East,Chocolate Room
Continental,High,East,Heart Cup Coffee
Continental,High,East,ITC Kakatiya
Continental,High,East,Marriot
Continental,Medium,East,Jalpaan
Continental,Medium,East,Out of the Box-GreenPArk
Italian,High,East,Ohris Jiva
Italian,High,East,Saffron Soul
Italian,High,East,Vivanta
Italian,Low,East,Italian Fresh Cut
Mexican,Medium,East,La Mexicana
North Indian,High,East,Deccan Pavilion
North Indian,High,East,Prana
North Indian,High,East,The Grill
North Indian,Low,East,Haveli
North Indian,Medium,East,Jalpaan
North Indian,Medium,East,Santosh Dhaba
North Indian,Medium,East,Sigree
South Indian,High,East,Dakshin
South Indian,High,East,Deccan Pavilion
South Indian,High,East,GreenPark
South Indian,Low,East,Mayura Tiffins
South Indian,Low,East,Nandini
Chinese,Low,North,Old Skool
Chinese,Low,North,Royal Bhawarchi
Chinese,Medium,North,Sony Family Dhaba
Chinese,Medium,North,Village China
Italian,Medium,North,Italian Feast
Italian,Medium,North,Thinespo
North Indian,High,North,Taj Dhaba
North Indian,High,North,Vasuda Elite
North Indian,Low,North,Rajdhaani Dhaba
North Indian,Medium,North,Lazeez Khana
North Indian,Medium,North,Nawab's Dine
Chinese,High,South,HaiKing
Chinese,High,South,Ming's Court
Chinese,High,South,Palace Heights
Chinese,Low,South,Mostly Momos
Chinese,Medium,South,Blue diamond
Chinese,Medium,South,Chung Hua
North Indian,High,South,Ohri's Guffa
North Indian,High,South,Quality Inn
North Indian,Low,South,Angad da Dhaba
North Indian,Low,South,Astoria
North Indian,Low,South,Basanth Restaurant
North Indian,Low,South,Dwaraka
North Indian,Medium,South,Bistro-Royalton Hotel
North Indian,Medium,South,Caf?hahar
North Indian,Medium,South,Hotel Akshaya
North Indian,Medium,South,Mehfil
North Indian,Medium,South,Rayalaseema Ruchulu
North Indian,Medium,South,Spicy King
North Indian,Medium,South,Swiss Castle
South Indian,High,South,Bikanervala
South Indian,Low,South,Adarsh Veg
South Indian,Low,South,Aporva Mess
South Indian,Low,South,Grand Sushwagat
South Indian,Low,South,Krupa Mess
South Indian,Low,South,Pragati Tiffins
South Indian,Low,South,Royal Tiffins
South Indian,Medium,South,Minerva Cofee Shop
South Indian,Medium,South,Swati Restaurant
South Indian,Medium,South,Taj Mahal
Chinese,Medium,West,Aboslute Sizzlers
Chinese,Medium,West,Dine O China
Chinese,Medium,West,Diners Pavilion
Chinese,Medium,West,La La Land
Chinese,Medium,West,Rendezvous
Chinese,Medium,West,Shanghai Chef
Chinese,Medium,West,Wonton
Continental,High,West,Cascade-Radison
Continental,High,West,Chocolate Room
Continental,High,West,Collage
Continental,High,West,Feast-Sheraton
Continental,High,West,Westin
Mexican,High,West,Habenaro
Mexican,Low,West,Mustang
North Indian,High,West,Collage
North Indian,High,West,Khaan Saab
North Indian,High,West,Moti Mahal
North Indian,Low,West,13 DHABA
North Indian,Low,West,Delhi-39
North Indian,Low,West,NorFest - The Dhaba
North Indian,Low,West,Paradise
North Indian,Medium,West,Pakwaan
North Indian,Medium,West,Punjabi Rasoi
North Indian,Medium,West,Tabla
North Indian,Medium,West,T-Grill
South Indian,High,West,Ulava Charu
South Indian,Medium,West,Banana Leaf
South Indian,Medium,West,POT POURRI
South Indian,Medium,West,Udipi Uphaar
Italian,Medium,West,Tabla
Chinese,High,West,Collage-Hyatt
Italian,High,West,Cascade-Radison
